,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
48273,4,1650000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1870.0,1,land area 
48274,31,1300000.0,4.0,2.0,0.0,1-sty Terrace/Link House (Corner),4283.0,2,land area 
48275,1,850000.0,2.0,2.0,1.0,Serviced Residence (Corner),952.0,0,built-up 
48277,35,680000.0,3.0,2.0,2.0,Condominium,1076.0,1,built-up 
48278,38,490000.0,3.0,2.0,1.0,Condominium (Intermediate),1066.0,1,built-up 
48279,21,188000.0,3.0,2.0,0.0,Flat (Corner),775.0,2,built-up 
48280,28,2450000.0,4.0,5.0,2.0,Condominium,3335.0,0,built-up 
48282,23,630000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),20.0,1,land area 
48283,23,880000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),22.0,1,land area 
48284,9,1500.0,4.0,2.0,0.0,Condominium,1080.0,0,built-up 
48285,42,460000.0,1.0,1.0,1.0,Serviced Residence (Studio),750.0,1,built-up 
48286,30,1950000.0,4.0,3.0,2.0,Condominium (Corner),2200.0,0,built-up 
48287,6,749999.0,3.0,2.0,2.0,Serviced Residence,1109.0,1,built-up 
48288,29,678000.0,4.0,3.0,2.0,Condominium (Intermediate),1474.0,1,land area 
48289,42,730000.0,3.0,2.0,2.0,Serviced Residence,1130.0,0,built-up 
48290,42,358800.0,2.0,2.0,1.0,Serviced Residence,800.0,1,built-up 
48291,20,450000.0,3.0,2.0,2.0,Serviced Residence,950.0,1,built-up 
48292,20,645000.0,4.0,3.0,2.0,Serviced Residence (EndLot),1094.0,1,built-up 
48293,19,1199000.0,11.0,4.0,3.0,3-sty Terrace/Link House (EndLot),1860.0,3,land area 
48294,30,1280000.0,5.0,4.0,2.0,Condominium (Corner),1973.0,0,built-up 
48295,19,2000.0,4.0,2.0,2.0,Condominium,1242.0,1,built-up 
48296,19,1650000.0,5.0,3.0,3.0,2-sty Terrace/Link House (Corner),32.0,3,land area 
48297,35,2259900.0,6.0,5.0,0.0,Semi-detached House (Corner),5856.0,1,land area 
48298,31,3800000.0,6.0,7.0,0.0,Semi-detached House (Intermediate),4500.0,0,land area 
48299,20,560000.0,3.0,2.0,1.0,Condominium (Corner),1407.0,0,built-up 
48301,40,560000.0,2.0,1.0,1.0,Serviced Residence,560.0,0,built-up 
48302,44,1600000.0,3.0,4.0,2.0,Condominium,1784.0,1,built-up 
48303,30,550000.0,3.0,2.0,2.0,Condominium (Intermediate),940.0,2,built-up 
48304,5,1298000.0,4.0,2.0,1.0,Serviced Residence (Corner),1399.0,1,built-up 
48305,28,1300000.0,2.0,2.0,1.0,Serviced Residence,820.0,0,built-up 
48306,30,3600000.0,4.0,6.0,0.0,Bungalow,2000.0,1,land area 
48307,35,690000.0,3.0,2.0,0.0,Condominium,1019.0,1,built-up 
48309,48,470000.0,3.0,2.0,1.0,Condominium,1150.0,3,built-up 
48310,29,495000.0,3.0,3.0,2.0,Condominium (Corner),1050.0,0,built-up 
48311,34,435000.0,3.0,3.0,1.0,Serviced Residence (Corner),1045.0,0,built-up 
